Nome,Comandante,Cor,Custo,Tipo,Subtipo,Preco_USD,EDHREC_Rank,Deck
Indrik Stomphowler,0,G,5,Creature,Beast,0.05,11765,Auriflamado
Inspiring Call,0,G,3,Instant,N/A,0.26,302,Auriflamado
Karn's Bastion,0,Incolor,0,Land,N/A,1.74,199,Auriflamado
Kessig Wolf Run,0,GR,0,Land,N/A,N/A,334,Auriflamado
Kindred Summons,0,G,7,Instant,N/A,8.94,2369,Auriflamado
"Kona, Rescue Beastie",0,G,4,Legendary Creature,Beast Survivor,0.69,3526,Auriflamado
Krosan Warchief,0,G,3,Creature,Beast,0.36,10665,Auriflamado
"Loot, Exuberant Explorer",0,G,3,Legendary Creature,Beast Noble,2.97,2184,Auriflamado
Manglehorn,0,G,3,Creature,Beast,1.18,1386,Auriflamado
"Migloz, Maze Crusher",0,GR,3,Legendary Creature,Phyrexian Beast,0.2,14230,Auriflamado
Mold Shambler,0,G,4,Creature,Fungus Beast,0.2,13134,Auriflamado
Mosswort Bridge,0,G,0,Land,N/A,N/A,198,Auriflamado
Mountain,0,R,0,Basic Land,Mountain,N/A,N/A,Auriflamado
Myriad Landscape,0,Incolor,0,Land,N/A,N/A,21,Auriflamado
"Oran-Rief, the Vastwood",0,G,0,Land,N/A,1.07,631,Auriflamado
Paleoloth,0,G,6,Creature,Beast,0.68,11217,Auriflamado
Path of Ancestry,0,Incolor,0,Land,N/A,N/A,14,Auriflamado
Quartzwood Crasher,0,GR,5,Creature,Dinosaur Beast,0.82,1540,Auriflamado
Rampaging Baloths,0,G,6,Creature,Beast,0.5,355,Auriflamado
Rampant Growth,0,G,2,Sorcery,N/A,N/A,26,Auriflamado
Ravenous Baloth,0,G,4,Creature,Beast,0.2,14957,Auriflamado
Renegade Krasis,0,G,3,Creature,Beast Mutant,0.28,14231,Auriflamado
Return of the Wildspeaker,0,G,5,Instant,N/A,1.05,140,Auriflamado
Ridgescale Tusker,0,G,5,Creature,Pangolin Beast,0.12,15383,Auriflamado
Rishkar's Expertise,0,G,6,Sorcery,N/A,1.72,204,Auriflamado
Rockfall Vale,0,GR,0,Land,N/A,N/A,209,Auriflamado
Rogue's Passage,0,Incolor,0,Land,N/A,0.42,20,Auriflamado
Rootbound Crag,0,GR,0,Land,N/A,2.78,169,Auriflamado
Secluded Courtyard,0,Incolor,0,Land,N/A,0.2,212,Auriflamado
Sheltered Thicket,0,GR,0,Land,Mountain Forest,N/A,797,Auriflamado
Siege Behemoth,0,G,7,Creature,Beast,10.46,7685,Auriflamado
"Skarrg, the Rage Pits",0,GR,0,Land,N/A,1.37,2583,Auriflamado
Sol Ring,0,Incolor,1,Artifact,N/A,2.0,1,Auriflamado
Spearbreaker Behemoth,0,G,7,Creature,Beast,0.34,6473,Auriflamado
Spellbreaker Behemoth,0,GR,4,Creature,Beast,0.64,9382,Auriflamado
Spinerock Knoll,0,R,0,Land,N/A,0.47,669,Auriflamado
Stump Stomp // Burnwillow Clearing,0,GR,2,Sorcery // Land,N/A,0.56,2087,Auriflamado
Talisman of Impulse,0,GR,2,Artifact,N/A,N/A,659,Auriflamado
Temple of Abandon,0,GR,0,Land,N/A,0.2,384,Auriflamado
Thragtusk,0,G,5,Creature,Beast,0.19,5495,Auriflamado
Thunderfoot Baloth,0,G,6,Creature,Beast,0.61,1859,Auriflamado
Unclaimed Territory,0,Incolor,0,Land,N/A,0.24,192,Auriflamado
Warbeast of Gorgoroth,0,R,5,Creature,Beast,0.03,12148,Auriflamado
Wirewood Savage,0,G,3,Creature,Elf,0.43,11555,Auriflamado
Wooded Ridgeline,0,GR,0,Land,Mountain Forest,0.15,1439,Auriflamado
Woodland Bellower,0,G,6,Creature,Beast,3.09,5447,Auriflamado
Woodland Liege,0,G,3,Creature,Elf Druid Noble,0.33,15159,Auriflamado
"Satya, Aetherflux Genius",1,RUW,4,Legendary Creature,Human Artificer,0.21,6696,BearDead
"Aragorn, King of Gondor",0,RUW,4,Legendary Creature,Human Noble,0.78,3206,BearDead
Arcane Denial,0,U,2,Instant,N/A,1.87,59,BearDead
Arcane Signet,0,Incolor,2,Artifact,N/A,1.0,3,BearDead
Archetype of Imagination,0,U,6,Enchantment Creature,Human Wizard,0.58,1605,BearDead
Archivist of Gondor,0,U,3,Creature,Human Advisor,0.13,8203,BearDead
Bastion Protector,0,W,3,Creature,Human Soldier,0.9,1140,BearDead
Battlefield Forge,0,RW,0,Land,N/A,1.0,150,BearDead
Beregond of the Guard,0,W,4,Legendary Creature,Human Soldier,0.15,4211,BearDead
"Boromir, Gondor's Hope",0,UW,4,Legendary Creature,Human Warrior,0.14,5310,BearDead
Call for Aid,0,R,5,Sorcery,N/A,0.18,6727,BearDead
Champions of Minas Tirith,0,W,6,Creature,Human Soldier,0.21,4423,BearDead
Clifftop Retreat,0,RW,0,Land,N/A,N/A,116,BearDead
Combat Celebrant,0,R,3,Creature,Human Warrior,1.36,1031,BearDead
Command Tower,0,Incolor,0,Land,N/A,1.0,2,BearDead
Commander's Sphere,0,Incolor,3,Artifact,N/A,0.16,32,BearDead
Dauntless Dismantler,0,W,2,Creature,Human Artificer,0.21,2022,BearDead
Discerning Financier,0,W,3,Creature,Human Noble,0.06,6911,BearDead
Door of Destinies,0,Incolor,4,Artifact,N/A,9.58,880,BearDead
Elite Guardmage,0,UW,4,Creature,Human Wizard,0.1,9071,BearDead
"Éomer, King of Rohan",0,RW,5,Legendary Creature,Human Noble,0.28,3765,BearDead
"Éowyn, Fearless Knight",0,RW,4,Legendary Creature,Human Knight,1.09,2536,BearDead
"Éowyn, Shieldmaiden",0,RUW,5,Legendary Creature,Human Knight,0.34,3484,BearDead
"Erkenbrand, Lord of Westfold",0,R,4,Legendary Creature,Human Soldier,0.03,6061,BearDead
Evolving Wilds,0,Incolor,0,Land,N/A,0.7,17,BearDead
Exotic Orchard,0,Incolor,0,Land,N/A,N/A,9,BearDead
"Faramir, Steward of Gondor",0,UW,3,Legendary Creature,Human Noble,0.24,4216,BearDead
Field of Ruin,0,Incolor,0,Land,N/A,0.15,645,BearDead
Fiend Hunter,0,W,3,Creature,Human Cleric,0.08,2931,BearDead
Flamerush Rider,0,R,5,Creature,Human Warrior,0.11,3646,BearDead
Flowering of the White Tree,0,W,2,Legendary Enchantment,N/A,5.52,687,BearDead
Forth Eorlingas!,0,RW,2,Sorcery,N/A,5.01,3032,BearDead
Frontier Warmonger,0,R,4,Creature,Human Warrior,0.12,2851,BearDead
Frontline Medic,0,W,3,Creature,Human Cleric,0.18,2645,BearDead
Furycalm Snarl,0,RW,0,Land,N/A,0.12,385,BearDead
Glacial Fortress,0,UW,0,Land,N/A,N/A,138,BearDead
Herald's Horn,0,Incolor,3,Artifact,N/A,5.06,126,BearDead
Horn of Gondor,0,Incolor,3,Legendary Artifact,N/A,3.38,1560,BearDead
Imodane's Recruiter // Train Troops,0,RW,3,Creature,Human Knight // Sorcery — Adventure,0.15,14824,BearDead
"Inti, Seneschal of the Sun",0,R,2,Legendary Creature,Human Knight,3.56,2812,BearDead
Island,0,U,0,Basic Land,Island,N/A,N/A,BearDead
Izzet Charm,0,RU,2,Instant,N/A,0.24,1250,BearDead
Lossarnach Captain,0,W,4,Creature,Human Soldier,0.38,3159,BearDead
Lost to Legend,0,W,2,Instant,N/A,0.07,8197,BearDead
Magus of the Wheel,0,R,3,Creature,Human Wizard,0.59,853,BearDead
Malevolent Hermit // Benevolent Geist,0,U,2,Creature,Human Wizard // Creature — Spirit Wizard,0.69,3059,BearDead
Marshal's Anthem,0,W,4,Enchantment,N/A,0.11,3626,BearDead
Minas Tirith,0,W,0,Legendary Land,N/A,4.86,363,BearDead
Mines of Moria,0,R,0,Legendary Land,N/A,1.37,870,BearDead
Mountain,0,R,0,Basic Land,Mountain,N/A,N/A,BearDead
New Prahv Guildmage,0,UW,2,Creature,Human Wizard,0.08,19533,BearDead
Palace Jailer,0,W,4,Creature,Human Soldier,0.13,3331,BearDead
Path of Ancestry,0,Incolor,0,Land,N/A,N/A,14,BearDead
Path to Exile,0,W,1,Instant,N/A,0.94,15,BearDead
Plains,0,W,0,Basic Land,Plains,N/A,N/A,BearDead
Port Town,0,UW,0,Land,N/A,0.13,331,BearDead
Prairie Stream,0,UW,0,Land,Plains Island,N/A,103,BearDead
Prince Imrahil the Fair,0,UW,2,Legendary Creature,Human Noble,0.06,2836,BearDead
Professional Face-Breaker,0,R,3,Creature,Human Warrior,5.39,269,BearDead
Reflector Mage,0,UW,3,Creature,Human Wizard,0.31,4383,BearDead
Riders of Rohan,0,RW,5,Creature,Human Knight,0.16,5359,BearDead
Rising of the Day,0,R,3,Enchantment,N/A,0.57,612,BearDead
Rogue's Passage,0,Incolor,0,Land,N/A,0.42,20,BearDead
Secluded Courtyard,0,Incolor,0,Land,N/A,0.2,212,BearDead
Selfless Squire,0,W,4,Creature,Human Soldier,0.17,2398,BearDead
Shared Animosity,0,R,3,Enchantment,N/A,0.85,637,BearDead
Sol Ring,0,Incolor,1,Artifact,N/A,2.0,1,BearDead
Stroke of Midnight,0,W,3,Instant,N/A,N/A,270,BearDead
Sulfur Falls,0,RU,0,Land,N/A,N/A,106,BearDead
Supreme Verdict,0,UW,4,Sorcery,N/A,1.68,401,BearDead
Swords to Plowshares,0,W,1,Instant,N/A,1.25,11,BearDead
Talisman of Conviction,0,RW,2,Artifact,N/A,N/A,174,BearDead
Talisman of Progress,0,UW,2,Artifact,N/A,N/A,172,BearDead
Taunt from the Rampart,0,RW,5,Sorcery,N/A,2.63,2258,BearDead
"Thalia, Guardian of Thraben",0,W,2,Legendary Creature,Human Soldier,0.43,1461,BearDead
Thalia's Lieutenant,0,W,2,Creature,Human Soldier,0.92,3372,BearDead
The Grey Havens,0,Incolor,0,Legendary Land,N/A,0.2,1314,BearDead
"Théoden, King of Rohan",0,RW,3,Legendary Creature,Human Noble,0.05,3367,BearDead
Thought Vessel,0,Incolor,2,Artifact,N/A,1.6,23,BearDead
Throne of the High City,0,Incolor,0,Land,N/A,0.12,3744,BearDead
Unbreakable Formation,0,W,3,Instant,N/A,2.03,376,BearDead
Unclaimed Territory,0,Incolor,0,Land,N/A,0.24,192,BearDead
Vanquisher's Banner,0,Incolor,5,Artifact,N/A,5.07,266,BearDead
Verge Rangers,0,W,3,Creature,Human Scout Ranger,0.14,4506,BearDead
Village Bell-Ringer,0,W,3,Creature,Human Scout,0.17,3104,BearDead
Weathered Wayfarer,0,W,1,Creature,Human Nomad Cleric,1.71,1082,BearDead
Windbrisk Heights,0,W,0,Land,N/A,N/A,656,BearDead
Zealous Conscripts,0,R,5,Creature,Human Warrior,0.18,1875,BearDead
Magus Lucea Kane,1,GRU,4,Legendary Creature,Human Tyranid Wizard,N/A,5177,BooneFernandoBsb
Aberrant,0,G,2,Creature,Tyranid Mutant,1.86,4529,BooneFernandoBsb
Acolyte Hybrid,0,R,3,Creature,Tyranid Human,0.13,12285,BooneFernandoBsb
Analyze the Pollen,0,G,1,Sorcery,N/A,0.37,9229,BooneFernandoBsb
Atalan Jackal,0,GR,3,Creature,Human Tyranid Scout,4.54,3648,BooneFernandoBsb
Biophagus,0,G,2,Creature,Human Tyranid Wizard,13.83,2235,BooneFernandoBsb
Bountiful Landscape,0,GRU,0,Land,N/A,N/A,2855,BooneFernandoBsb
Branching Evolution,0,G,3,Enchantment,N/A,2.86,503,BooneFernandoBsb
Bred for the Hunt,0,GU,3,Enchantment,N/A,0.4,3222,BooneFernandoBsb
Bridgeworks Battle // Tanglespan Bridgeworks,0,G,3,Sorcery // Land,N/A,0.72,1398,BooneFernandoBsb
Broodlord,0,G,4,Creature,Tyranid,0.46,6295,BooneFernandoBsb
Cavern of Souls,0,Incolor,0,Land,N/A,36.9,112,BooneFernandoBsb
Chameleon Colossus,0,G,4,Creature,Shapeshifter,0.93,4688,BooneFernandoBsb
Change of Plans,0,U,2,Instant,N/A,0.74,6317,BooneFernandoBsb
Cinder Glade,0,GR,0,Land,Mountain Forest,N/A,87,BooneFernandoBsb
Clamavus,0,G,5,Creature,Human Tyranid Artificer,2.17,4748,BooneFernandoBsb
Command Tower,0,Incolor,0,Land,N/A,1.0,2,BooneFernandoBsb
Crop Rotation,0,G,1,Instant,N/A,2.57,222,BooneFernandoBsb
Death's Presence,0,G,6,Enchantment,N/A,0.28,3398,BooneFernandoBsb
"Deathleaper, Terror Weapon",0,GR,4,Legendary Creature,Tyranid,0.27,9017,BooneFernandoBsb
Decimate,0,GR,4,Sorcery,N/A,0.15,777,BooneFernandoBsb
Emergence Zone,0,Incolor,0,Land,N/A,2.96,583,BooneFernandoBsb
Exocrine,0,R,3,Creature,Tyranid,0.64,5145,BooneFernandoBsb
Fabled Passage,0,Incolor,0,Land,N/A,5.35,72,BooneFernandoBsb
Farseek,0,G,2,Sorcery,N/A,1.0,27,BooneFernandoBsb
Finale of Revelation,0,U,2,Sorcery,N/A,0.35,1381,BooneFernandoBsb
Forest,0,G,0,Basic Land,Forest,N/A,N/A,BooneFernandoBsb
Frontier Bivouac,0,GRU,0,Land,N/A,0.83,403,BooneFernandoBsb
Game Trail,0,GR,0,Land,N/A,0.15,324,BooneFernandoBsb
Gargoyle Flock,0,GU,4,Creature,Tyranid Gargoyle,0.15,12725,BooneFernandoBsb
Garruk's Uprising,0,G,3,Enchantment,N/A,0.48,104,BooneFernandoBsb
Genestealer Locus,0,U,4,Creature,Tyranid Human,0.11,16051,BooneFernandoBsb
Genestealer Patriarch,0,U,5,Creature,Tyranid,0.16,12510,BooneFernandoBsb
"Ghyrson Starn, Kelermorph",0,RU,3,Legendary Creature,Tyranid Human,19.74,3074,BooneFernandoBsb
Glorious Sunrise,0,G,5,Enchantment,N/A,1.12,2867,BooneFernandoBsb
Haruspex,0,G,4,Creature,Tyranid,0.24,9575,BooneFernandoBsb
Hierophant Bio-Titan,0,G,12,Creature,Tyranid,0.56,7147,BooneFernandoBsb
Hormagaunt Horde,0,G,1,Creature,Tyranid,0.31,7496,BooneFernandoBsb
Inspiring Call,0,G,3,Instant,N/A,0.26,302,BooneFernandoBsb
Insurrection,0,R,8,Sorcery,N/A,6.66,2272,BooneFernandoBsb
Island,0,U,0,Basic Land,Island,N/A,N/A,BooneFernandoBsb
Kazuul's Fury // Kazuul's Cliffs,0,R,3,Instant // Land,N/A,0.63,1437,BooneFernandoBsb
Lictor,0,G,4,Creature,Tyranid,0.17,14932,BooneFernandoBsb
Lightning Greaves,0,Incolor,2,Artifact,Equipment,N/A,13,BooneFernandoBsb
Malanthrope,0,GU,3,Creature,Tyranid,0.2,8874,BooneFernandoBsb
Mawloc,0,GR,2,Creature,Tyranid,4.69,5437,BooneFernandoBsb
Molten Tributary,0,RU,0,Land,Island Mountain,0.48,1891,BooneFernandoBsb
Monstrous Vortex,0,G,4,Enchantment,N/A,0.2,3339,BooneFernandoBsb
Moritte of the Frost,0,GU,5,Legendary Snow Creature,Shapeshifter,0.24,5281,BooneFernandoBsb
Mossfire Valley,0,GR,0,Land,N/A,N/A,557,BooneFernandoBsb
Mosswort Bridge,0,G,0,Land,N/A,N/A,198,BooneFernandoBsb
Mountain,0,R,0,Basic Land,Mountain,N/A,N/A,BooneFernandoBsb
Myriad Landscape,0,Incolor,0,Land,N/A,N/A,21,BooneFernandoBsb
Nature's Lore,0,G,2,Sorcery,N/A,1.9,31,BooneFernandoBsb
Nexos,0,G,2,Creature,Human Tyranid Advisor,4.29,3873,BooneFernandoBsb
Old One Eye,0,G,6,Legendary Creature,Tyranid,2.57,4984,BooneFernandoBsb
Path of Ancestry,0,Incolor,0,Land,N/A,N/A,14,BooneFernandoBsb
Praetor's Counsel,0,G,8,Sorcery,N/A,1.39,4307,BooneFernandoBsb
Purestrain Genestealer,0,G,3,Creature,Tyranid,0.28,8776,BooneFernandoBsb
Ravener,0,GU,2,Creature,Tyranid,0.26,8200,BooneFernandoBsb
Realmwalker,0,G,3,Creature,Shapeshifter,2.53,534,BooneFernandoBsb
Rhythm of the Wild,0,GR,3,Enchantment,N/A,3.27,184,BooneFernandoBsb
Screamer-Killer,0,R,5,Creature,Tyranid,0.34,8204,BooneFernandoBsb
Shadow in the Warp,0,GR,3,Enchantment,N/A,16.32,2274,BooneFernandoBsb
Simic Growth Chamber,0,GU,0,Land,N/A,0.17,236,BooneFernandoBsb
Sol Ring,0,Incolor,1,Artifact,N/A,2.0,1,BooneFernandoBsb
Sonic Screwdriver,0,Incolor,3,Artifact,N/A,0.6,1823,BooneFernandoBsb
Spinerock Knoll,0,R,0,Land,N/A,0.47,669,BooneFernandoBsb
Sporocyst,0,G,1,Creature,Tyranid,5.1,3686,BooneFernandoBsb
Stonespeaker Crystal,0,Incolor,4,Artifact,N/A,0.17,2905,BooneFernandoBsb
Stump Stomp // Burnwillow Clearing,0,GR,2,Sorcery // Land,N/A,0.56,2087,BooneFernandoBsb
Sundering Eruption // Volcanic Fissure,0,R,3,Sorcery // Land,N/A,0.89,1646,BooneFernandoBsb
Tangled Islet,0,GU,0,Land,Forest Island,0.15,1026,BooneFernandoBsb
Temur Ascendancy,0,GRU,3,Enchantment,N/A,N/A,992,BooneFernandoBsb
Termagant Swarm,0,G,1,Creature,Tyranid,0.74,4905,BooneFernandoBsb
Tervigon,0,G,2,Creature,Tyranid,1.57,4286,BooneFernandoBsb
The First Tyrannic War,0,GRU,5,Enchantment,Saga,0.29,8115,BooneFernandoBsb
The Red Terror,0,R,4,Legendary Creature,Tyranid,4.39,5525,BooneFernandoBsb
The Swarmlord,0,GRU,6,Legendary Creature,Tyranid,N/A,10611,BooneFernandoBsb
Three Tree City,0,Incolor,0,Legendary Land,N/A,25.67,429,BooneFernandoBsb
Three Visits,0,G,2,Sorcery,N/A,6.87,44,BooneFernandoBsb
Toxicrene,0,G,4,Creature,Tyranid,0.42,10451,BooneFernandoBsb
Trygon Prime,0,GU,4,Creature,Tyranid,0.26,9013,BooneFernandoBsb
Tyranid Harridan,0,GU,6,Creature,Tyranid,0.16,11789,BooneFernandoBsb
Tyranid Prime,0,GU,3,Creature,Tyranid,0.41,7171,BooneFernandoBsb
Tyrant Guard,0,G,3,Creature,Tyranid,1.68,4219,BooneFernandoBsb
Tyrite Sanctum,0,Incolor,0,Land,N/A,1.43,754,BooneFernandoBsb
Unclaimed Territory,0,Incolor,0,Land,N/A,0.24,192,BooneFernandoBsb
Venomthrope,0,GU,3,Creature,Tyranid,3.84,5788,BooneFernandoBsb
Winged Hive Tyrant,0,RU,5,Creature,Tyranid,0.31,5573,BooneFernandoBsb
Worldsoul's Rage,0,GR,2,Sorcery,N/A,0.3,5083,BooneFernandoBsb
Zoanthrope,0,RU,2,Creature,Tyranid,0.51,5306,BooneFernandoBsb
"Ramos, Dragon Engine",1,BGRUW,6,Legendary Artifact Creature,Dragon,1.54,2711,BrunoPD
Ancient Brass Dragon,0,B,7,Creature,Elder Dragon,28.92,1419,BrunoPD
Ancient Bronze Dragon,0,G,7,Creature,Elder Dragon,12.72,2406,BrunoPD
Ancient Copper Dragon,0,R,6,Creature,Elder Dragon,82.9,686,BrunoPD
Ancient Gold Dragon,0,W,7,Creature,Elder Dragon,17.42,1825,BrunoPD
Arcane Signet,0,Incolor,2,Artifact,N/A,1.0,3,BrunoPD
Arena of Glory,0,R,0,Land,N/A,12.08,852,BrunoPD
"Atarka, World Render",0,GR,7,Legendary Creature,Dragon,N/A,1341,BrunoPD
Carnelian Orb of Dragonkind,0,R,3,Artifact,N/A,0.76,1960,BrunoPD
Command Tower,0,Incolor,0,Land,N/A,1.0,2,BrunoPD
Commander's Sphere,0,Incolor,3,Artifact,N/A,0.16,32,BrunoPD
Crux of Fate,0,B,5,Sorcery,N/A,2.59,1434,BrunoPD
Cultivate,0,G,3,Sorcery,N/A,N/A,16,BrunoPD
Cursed Mirror,0,R,3,Artifact,N/A,0.6,521,BrunoPD
Defense of the Heart,0,G,4,Enchantment,N/A,10.52,1284,BrunoPD
Dimir Signet,0,BU,2,Artifact,N/A,0.59,109,BrunoPD
Dragon Tempest,0,R,2,Enchantment,N/A,N/A,888,BrunoPD
Dragon's Hoard,0,Incolor,3,Artifact,N/A,N/A,1028,BrunoPD
Dragonlord Dromoka,0,GW,6,Legendary Creature,Elder Dragon,N/A,2551,BrunoPD
Dragonlord's Servant,0,R,2,Creature,Goblin Shaman,N/A,1308,BrunoPD
Dragonmaster Outcast,0,R,1,Creature,Human Shaman,N/A,1268,BrunoPD
Dragonspeaker Shaman,0,R,3,Creature,Human Barbarian Shaman,6.17,1178,BrunoPD
Eerie Ultimatum,0,BGW,7,Sorcery,N/A,5.16,1301,BrunoPD
Exotic Orchard,0,Incolor,0,Land,N/A,N/A,9,BrunoPD
Farseek,0,G,2,Sorcery,N/A,1.0,27,BrunoPD
Fell the Profane // Fell Mire,0,B,4,Instant // Land,N/A,2.9,559,BrunoPD
Fellwar Stone,0,Incolor,2,Artifact,N/A,1.0,18,BrunoPD
Firespitter Whelp,0,R,3,Creature,Dragon,0.22,7154,BrunoPD
Flameblast Dragon,0,R,6,Creature,Dragon,0.3,8058,BrunoPD
Forest,0,G,0,Basic Land,Forest,N/A,N/A,BrunoPD
"Ganax, Astral Hunter",0,R,5,Legendary Creature,Dragon,0.32,1342,BrunoPD
Glorybringer,0,R,5,Creature,Dragon,N/A,8253,BrunoPD
Guardian Scalelord,0,W,5,Creature,Dragon,1.41,4371,BrunoPD
Hanweir Battlements,0,R,0,Land,N/A,0.91,2656,BrunoPD
Haven of the Spirit Dragon,0,Incolor,0,Land,N/A,N/A,1219,BrunoPD
Hellkite Courser,0,R,6,Creature,Dragon,N/A,2781,BrunoPD
Hellkite Tyrant,0,R,6,Creature,Dragon,3.99,830,BrunoPD
Heroic Intervention,0,G,2,Instant,N/A,11.66,34,BrunoPD
Immersturm Predator,0,BR,4,Creature,Vampire Dragon,0.22,5403,BrunoPD
Island,0,U,0,Basic Land,Island,N/A,N/A,BrunoPD
Kilnmouth Dragon,0,R,7,Creature,Dragon,0.55,14642,BrunoPD
"Klauth, Unrivaled Ancient",0,GR,7,Legendary Creature,Dragon,N/A,2025,BrunoPD
Kodama's Reach,0,G,3,Sorcery,Arcane,N/A,33,BrunoPD
"Lathliss, Dragon Queen",0,R,6,Legendary Creature,Dragon,N/A,1157,BrunoPD
Lurking Predators,0,G,6,Enchantment,N/A,8.32,2424,BrunoPD
"Miirym, Sentinel Wyrm",0,GRU,6,Legendary Creature,Dragon Spirit,6.95,1523,BrunoPD
Mind's Eye,0,Incolor,5,Artifact,N/A,4.21,2080,BrunoPD
Minion of the Mighty,0,R,1,Creature,Kobold,0.91,4532,BrunoPD
Molten Disaster,0,R,2,Sorcery,N/A,0.42,9210,BrunoPD
Monstrous Vortex,0,G,4,Enchantment,N/A,0.2,3339,BrunoPD
Mordant Dragon,0,R,6,Creature,Dragon,0.31,11014,BrunoPD
Mosswort Bridge,0,G,0,Land,N/A,N/A,198,BrunoPD
Mountain,0,R,0,Basic Land,Mountain,N/A,N/A,BrunoPD
Nature's Lore,0,G,2,Sorcery,N/A,1.9,31,BrunoPD
"Nicol Bolas, the Ravager // Nicol Bolas, the Arisen",0,BRU,4,Legendary Creature,Elder Dragon // Legendary Planeswalker — Bolas,18.01,4280,BrunoPD
Old Gnawbone,0,G,7,Legendary Creature,Dragon,43.47,714,BrunoPD
Path of Ancestry,0,Incolor,0,Land,N/A,N/A,14,BrunoPD
Plains,0,W,0,Basic Land,Plains,N/A,N/A,BrunoPD
Rakdos Signet,0,BR,2,Artifact,N/A,1.16,121,BrunoPD
Rampant Growth,0,G,2,Sorcery,N/A,N/A,26,BrunoPD
Revitalizing Repast // Old-Growth Grove,0,BG,1,Instant // Land,N/A,0.9,1494,BrunoPD
Rhythm of the Wild,0,GR,3,Enchantment,N/A,3.27,184,BrunoPD
"Rith, Liberated Primeval",0,GRW,5,Legendary Creature,Dragon,4.49,4015,BrunoPD
Rivaz of the Claw,0,BR,3,Legendary Creature,Lizard Warlock,1.4,2621,BrunoPD
Savage Ventmaw,0,GR,6,Creature,Dragon,0.6,1417,BrunoPD
Scaled Nurturer,0,G,2,Creature,Dragon Druid,0.2,3231,BrunoPD
Scourge of the Throne,0,R,6,Creature,Dragon,N/A,1480,BrunoPD
